Czas_Rejestracji;Liczba_Wolnych_Miejsc;Liczba_Poj_Wjezdzajacych;Liczba_Poj_Wyjezdzajacych;Nazwa
2016-11-27 09:40:01.523;776;2;1;Parking Hala Stulecia
2016-11-27 09:40:02.033;97;1;0;ul. św. Antoniego
2016-11-27 09:41:17.927;535;0;0;Renoma
2016-11-27 09:45:00.020;270;0;1;Nowy Targ
2016-11-27 09:45:01.367;771;6;1;Parking Hala Stulecia
2016-11-27 09:45:01.810;97;0;0;ul. św. Antoniego
2016-11-27 09:50:00.023;270;0;0;Nowy Targ
2016-11-27 09:50:01.693;99;1;2;ul. św. Antoniego
2016-11-27 09:50:02.183;771;1;1;Parking Hala Stulecia
2016-11-27 09:51:17.367;471;0;0;Renoma
2016-11-27 09:55:00.013;269;1;0;Nowy Targ
2016-11-27 09:55:01.573;95;2;0;ul. św. Antoniego
2016-11-27 09:55:02.003;766;6;1;Parking Hala Stulecia
2016-11-27 10:00:00.020;267;3;1;Nowy Targ
2016-11-27 10:00:01.397;95;0;0;ul. św. Antoniego
2016-11-27 10:00:01.920;761;6;1;Parking Hala Stulecia
2016-11-27 10:01:17.117;530;0;0;Renoma
2016-11-27 10:05:00.020;265;2;0;Nowy Targ
2016-11-27 10:05:01.160;93;1;0;ul. św. Antoniego
2016-11-27 10:05:02.147;756;6;1;Parking Hala Stulecia
2016-11-27 10:10:00.013;266;1;2;Nowy Targ
2016-11-27 10:10:01.957;744;12;0;Parking Hala Stulecia
2016-11-27 10:10:01.983;91;1;0;ul. św. Antoniego
2016-11-27 10:11:16.907;484;0;0;Renoma
2016-11-27 10:15:00.017;266;0;0;Nowy Targ
2016-11-27 10:15:01.777;743;3;2;Parking Hala Stulecia
2016-11-27 10:15:02.080;91;0;0;ul. św. Antoniego
2016-11-27 10:20:00.017;265;1;0;Nowy Targ
2016-11-27 10:20:01.597;731;12;0;Parking Hala Stulecia
2016-11-27 10:20:01.947;85;3;0;ul. św. Antoniego
2016-11-27 10:21:16.477;471;0;0;Renoma
2016-11-27 10:25:00.017;264;1;0;Nowy Targ
2016-11-27 10:25:01.363;724;8;1;Parking Hala Stulecia
2016-11-27 10:25:01.760;85;0;0;ul. św. Antoniego
2016-11-27 10:30:00.017;265;0;1;Nowy Targ
2016-11-27 10:30:01.513;85;0;0;ul. św. Antoniego
